  500:  W.. 0x10088
31000:  R.. 0x1b388
46000:  R.. 0x1f388
57375:  W.. 0x1f388
93000:  R.. 0x1b389
108000:  R.. 0x1f389
119250:  W.. 0x1f389
149250:  R.. 0x1edff
153000:  R.. 0x1b389
168000:  R.. 0x1f389
179250:  W.. 0x1f389
209250:  R.. 0x0eeff
213000:  R.. 0x1b38a
228000:  R.. 0x1f38a
239250:  W.. 0x1f38a
269125:  R.. 0x1efff
272875:  R.. 0x1b38a
287875:  R.. 0x1f38a
299125:  W.. 0x1f38a
329125:  R.. 0x0f0ff
332875:  R.. 0x1b38b
347875:  R.. 0x1f38b
359125:  W.. 0x1f38b
389125:  R.. 0x1f1ff
392875:  R.. 0x1b38b
407875:  R.. 0x1f38b
419250:  W.. 0x1f38b
449250:  R.. 0x0f2ff
453000:  R.. 0x1b38c
468000:  R.. 0x1f38c
479250:  W.. 0x1f38c
509375:  R.. 0x1f3ff
513125:  R.. 0x1b38c
528125:  R.. 0x1f38c
539375:  W.. 0x1f38c
569375:  R.. 0x0f4ff
573125:  R.. 0x1b38d
588125:  R.. 0x1f38d
595625:  R.. 0x1ffff
599375:  R.. 0x1ffff
603125:  R.. 0x1ffff
606875:  R.. 0x1ffff
610625:  W.. 0x1f38d
642000:  R.. 0x1b38d
657500:  R.. 0x1f38d
668625:  W.. 0x1f38d
698625:  R.. 0x1b38e
713625:  R.. 0x1f38e
734250:  W.. 0x1f38e
764250:  R.. 0x1b38e
779250:  R.. 0x1f38e
790500:  R.. 0x1f5ff
794250:  W.. 0x1f38e
824250:  R.. 0x1b38f
839250:  R.. 0x1f38f
850500:  R.. 0x0f6ff
854250:  W.. 0x1f38f
884375:  R.. 0x1b38f
899375:  R.. 0x1f38f
910625:  R.. 0x1f7ff
914375:  W.. 0x1f38f
944375:  R.. 0x1b390
959375:  R.. 0x1f390
970750:  R.. 0x0f8ff
974500:  W.. 0x1f390
1004500:  R.. 0x1b390
1019500:  R.. 0x1f390
1030750:  R.. 0x1f9ff
1034500:  W.. 0x1f390
1064500:  R.. 0x1b391
1079375:  R.. 0x1f391
1090625:  R.. 0x0faff
1094375:  W.. 0x1f391
1124375:  R.. 0x1b391
1139375:  R.. 0x1f391
1150625:  R.. 0x1fbff
1154375:  W.. 0x1f391
1184375:  R.. 0x1b392
1199375:  R.. 0x1f392
1210625:  R.. 0x0fcff
1214375:  W.. 0x1f392
1236875:  R.. 0x1ffff
1240625:  R.. 0x1ffff
1244375:  R.. 0x1ffff
1248125:  R.. 0x1ffff
1251875:  R.. 0x1b392
1266875:  R.. 0x1f392
1278625:  W.. 0x1f392
1310000:  R.. 0x1b393
1325125:  R.. 0x1f393
1336375:  W.. 0x1f393
