32500:  R.. 0x1d3ff
92625:  R.. 0x0d4ff
152625:  R.. 0x1d5ff
178875:  R.. 0x1ffff
182625:  R.. 0x1ffff
186375:  R.. 0x1ffff
190125:  R.. 0x1ffff
373750:  R.. 0x0d6ff
433750:  R.. 0x1d7ff
493875:  R.. 0x0d8ff
554000:  R.. 0x1d9ff
614000:  R.. 0x0daff
674000:  R.. 0x1dbff
733875:  R.. 0x0dcff
793875:  R.. 0x1ddff
820125:  R.. 0x1ffff
823875:  R.. 0x1ffff
827625:  R.. 0x1ffff
831375:  R.. 0x1ffff
1015375:  R.. 0x0deff
1075375:  R.. 0x1dfff
1135250:  R.. 0x0e0ff
1195250:  R.. 0x1e1ff
1255250:  R.. 0x0e2ff
1315250:  R.. 0x1e3ff
1375375:  R.. 0x0e4ff
1435375:  R.. 0x1e5ff
1461750:  R.. 0x1ffff
1465500:  R.. 0x1ffff
1469250:  R.. 0x1ffff
1473000:  R.. 0x1ffff
1656625:  R.. 0x0e6ff
1716625:  R.. 0x1e7ff
1776625:  R.. 0x0e8ff
1836750:  R.. 0x1e9ff
1896750:  R.. 0x0eaff
1956750:  R.. 0x1ebff
2016750:  R.. 0x0ecff
2076750:  R.. 0x1edff
2102875:  R.. 0x1ffff
2106625:  R.. 0x1ffff
2110375:  R.. 0x1ffff
2114125:  R.. 0x1ffff
2298125:  R.. 0x0eeff
2358125:  R.. 0x1efff
2418125:  R.. 0x0f0ff
2478125:  R.. 0x1f1ff
2538000:  R.. 0x0f2ff
2598000:  R.. 0x1f3ff
2658125:  R.. 0x0f4ff
2718250:  R.. 0x1f5ff
2744500:  R.. 0x1ffff
2748250:  R.. 0x1ffff
2752000:  R.. 0x1ffff
2755750:  R.. 0x1ffff
2939375:  R.. 0x0f6ff
2999375:  R.. 0x1f7ff
3059375:  R.. 0x0f8ff
3119500:  R.. 0x1f9ff
3179625:  R.. 0x0faff
3239625:  R.. 0x1fbff
3299500:  R.. 0x0fcff
3359500:  R.. 0x1fdff
3385750:  R.. 0x1ffff
3389500:  R.. 0x1ffff
3393250:  R.. 0x1ffff
3397000:  R.. 0x1ffff
3580875:  R.. 0x0feff
3641000:  R.. 0x1ffff
3700875:  R.. 0x0003f
3760875:  R.. 0x1013f
3820875:  R.. 0x0023f
3880875:  R.. 0x1033f
3940875:  R.. 0x0043f
4001000:  R.. 0x1053f
4027250:  R.. 0x1ffff
4031000:  R.. 0x1ffff
4034750:  R.. 0x1ffff
4038500:  R.. 0x1ffff
