    0:  W.v 0x00000
  250:  R.v 0x06161
 3125:  R.. 0x13d3f
 5875:  R.v 0x04838
 7750:  Rbv 0x04839
 9625:  Rbv 0x0483a
11500:  Rbv 0x0483b
15250:  R.. 0x0d640
21000:  R.v 0x0483c
22875:  Rbv 0x0483d
24750:  Rbv 0x0483e
26625:  Rbv 0x0483f
30375:  R.. 0x0d644
36000:  R.v 0x04840
37875:  Rbv 0x04841
39750:  Rbv 0x04842
41625:  Rbv 0x04843
45375:  R.. 0x0d648
51000:  R.v 0x04844
52875:  Rbv 0x04845
54750:  Rbv 0x04846
56625:  Rbv 0x04847
60375:  R.. 0x0d64c
63250:  R.. 0x03e3f
66000:  R.v 0x04848
67875:  Rbv 0x04849
69750:  Rbv 0x0484a
71625:  Rbv 0x0484b
75375:  R.. 0x0d650
81000:  R.v 0x0484c
82875:  Rbv 0x0484d
84750:  Rbv 0x0484e
86625:  Rbv 0x0484f
90375:  R.. 0x0d654
96000:  R.v 0x04850
97875:  Rbv 0x04851
99750:  Rbv 0x04852
101625:  Rbv 0x04853
105375:  R.. 0x0d658
111000:  R.v 0x04854
112875:  Rbv 0x04855
114750:  Rbv 0x04856
116625:  Rbv 0x04857
120375:  R.. 0x0d65c
123250:  R.. 0x13f3f
126000:  R.v 0x04858
127875:  Rbv 0x04859
129750:  Rbv 0x0485a
131625:  Rbv 0x0485b
135375:  R.. 0x0d660
141000:  R.v 0x0485c
142875:  Rbv 0x0485d
144750:  Rbv 0x0485e
146625:  Rbv 0x0485f
150375:  R.. 0x0d664
156000:  R.v 0x04860
157875:  Rbv 0x04861
159750:  Rbv 0x04862
161625:  Rbv 0x04863
165375:  R.. 0x0d668
171000:  R.v 0x04864
172875:  Rbv 0x04865
174750:  Rbv 0x04866
176625:  Rbv 0x04867
180375:  R.. 0x0d66c
183250:  R.. 0x0407f
186000:  R.v 0x04868
187875:  Rbv 0x04869
189750:  Rbv 0x0486a
191625:  Rbv 0x0486b
195375:  R.. 0x0d670
201000:  R.v 0x0486c
202875:  Rbv 0x0486d
204750:  Rbv 0x0486e
206625:  Rbv 0x0486f
210375:  R.. 0x0d674
216000:  R.v 0x04870
217875:  Rbv 0x04871
219750:  Rbv 0x04872
221625:  Rbv 0x04873
225375:  R.. 0x0d678
231000:  R.v 0x04874
232875:  Rbv 0x04875
234750:  Rbv 0x04876
236625:  Rbv 0x04877
240375:  R.. 0x0d67c
243125:  R.. 0x1417f
246000:  R.v 0x04878
247875:  Rbv 0x04879
249750:  Rbv 0x0487a
251625:  Rbv 0x0487b
255375:  R.. 0x1ffff
261000:  R.v 0x0487c
262750:  Rbv 0x0487d
264625:  Rbv 0x0487e
266500:  Rbv 0x0487f
270250:  R.. 0x0d600
272125:  Rb. 0x0d601
274000:  Rb. 0x0d602
276375:  R.. 0x0d600
278250:  Rb. 0x0d601
280125:  Rb. 0x0d602
285250:  R.. 0x0d800
287125:  Rb. 0x0d810
290000:  R.. 0x0d400
292750:  R.. 0x0d800
294625:  Rb. 0x0d810
297500:  R.. 0x0d400
300250:  R.. 0x0d600
302125:  Rb. 0x0d601
304000:  Rb. 0x0d602
306375:  R.. 0x0d600
308250:  Rb. 0x0d601
